fecha hora var lev value
2023-03-24 09:00:00 temp 300 242.5578
2023-03-24 09:00:00 temp 250 232.0134
2023-03-24 09:00:00 temp 200 218.5513
2023-03-24 09:00:00 temp 150 203.2568
2023-03-24 09:00:00 temp 100 192.8287
2023-03-24 09:00:00 temp 50 207.4049
2023-03-24 10:00:00 temp 1020 289.1523
2023-03-24 10:00:00 temp 1000 292.5664
2023-03-24 10:00:00 temp 950 296.8595
2023-03-24 10:00:00 temp 925 295.0796
2023-03-24 10:00:00 temp 900 293.1447
2023-03-24 10:00:00 temp 850 290.7316
2023-03-24 10:00:00 temp 800 288.1339
2023-03-24 10:00:00 temp 750 285.3662
2023-03-24 10:00:00 temp 700 282.5367
2023-03-24 10:00:00 temp 650 279.5175
2023-03-24 10:00:00 temp 600 275.9259
2023-03-24 10:00:00 temp 550 271.5741
2023-03-24 10:00:00 temp 500 266.9076
2023-03-24 10:00:00 temp 450 262.2792
2023-03-24 10:00:00 temp 400 257.0171
2023-03-24 10:00:00 temp 350 250.3796
2023-03-24 10:00:00 temp 300 242.5042
2023-03-24 10:00:00 temp 250 231.8997
2023-03-24 10:00:00 temp 200 218.4713
2023-03-24 10:00:00 temp 150 203.424
2023-03-24 10:00:00 temp 100 192.9159
2023-03-24 10:00:00 temp 50 207.2403
2023-03-24 11:00:00 temp 1020 289.1233
2023-03-24 11:00:00 temp 1000 292.8318
2023-03-24 11:00:00 temp 950 296.7538
2023-03-24 11:00:00 temp 925 294.9934
2023-03-24 11:00:00 temp 900 292.9767
2023-03-24 11:00:00 temp 850 290.637
2023-03-24 11:00:00 temp 800 288.1362
2023-03-24 11:00:00 temp 750 285.3043
2023-03-24 11:00:00 temp 700 282.313
2023-03-24 11:00:00 temp 650 279.1515
2023-03-24 11:00:00 temp 600 275.5907
2023-03-24 11:00:00 temp 550 271.5269
2023-03-24 11:00:00 temp 500 266.8844
2023-03-24 11:00:00 temp 450 262.2479
2023-03-24 11:00:00 temp 400 257.0539
2023-03-24 11:00:00 temp 350 250.3444
2023-03-24 11:00:00 temp 300 242.5047
2023-03-24 11:00:00 temp 250 231.8313
2023-03-24 11:00:00 temp 200 218.4083
2023-03-24 11:00:00 temp 150 203.6123
2023-03-24 11:00:00 temp 100 193.1079
2023-03-24 11:00:00 temp 50 207.0009
2023-03-24 12:00:00 temp 1020 289.1113
2023-03-24 12:00:00 temp 1000 293.3388
2023-03-24 12:00:00 temp 950 296.6709
2023-03-24 12:00:00 temp 925 294.9261
2023-03-24 12:00:00 temp 900 292.8705
2023-03-24 12:00:00 temp 850 290.5666
2023-03-24 12:00:00 temp 800 288.0669
2023-03-24 12:00:00 temp 750 285.2296
2023-03-24 12:00:00 temp 700 282.1656
2023-03-24 12:00:00 temp 650 278.916
2023-03-24 12:00:00 temp 600 275.3206
2023-03-24 12:00:00 temp 550 271.2287
2023-03-24 12:00:00 temp 500 266.6482
2023-03-24 12:00:00 temp 450 262.1637
2023-03-24 12:00:00 temp 400 257.0448
2023-03-24 12:00:00 temp 350 250.3373
2023-03-24 12:00:00 temp 300 242.4182
2023-03-24 12:00:00 temp 250 231.7984
2023-03-24 12:00:00 temp 200 218.3663
2023-03-24 12:00:00 temp 150 203.7393
2023-03-24 12:00:00 temp 100 193.2675
2023-03-24 12:00:00 temp 50 206.938
2023-03-24 13:00:00 temp 1020 289.303
2023-03-24 13:00:00 temp 1000 293.4007
2023-03-24 13:00:00 temp 950 296.6823
2023-03-24 13:00:00 temp 925 294.8485
2023-03-24 13:00:00 temp 900 292.8066
2023-03-24 13:00:00 temp 850 290.6548
2023-03-24 13:00:00 temp 800 288.1426
2023-03-24 13:00:00 temp 750 285.2869
2023-03-24 13:00:00 temp 700 282.2623
2023-03-24 13:00:00 temp 650 279.0467
2023-03-24 13:00:00 temp 600 275.3647
2023-03-24 13:00:00 temp 550 271.2549
2023-03-24 13:00:00 temp 500 266.8506
2023-03-24 13:00:00 temp 450 262.2766
2023-03-24 13:00:00 temp 400 257.0961
2023-03-24 13:00:00 temp 350 250.4737
2023-03-24 13:00:00 temp 300 242.4127
2023-03-24 13:00:00 temp 250 231.8063
2023-03-24 13:00:00 temp 200 218.4031
2023-03-24 13:00:00 temp 150 203.9695
2023-03-24 13:00:00 temp 100 193.2694
2023-03-24 13:00:00 temp 50 206.7744
2023-03-24 14:00:00 temp 1020 289.5072
2023-03-24 14:00:00 temp 1000 293.344
2023-03-24 14:00:00 temp 950 296.679
2023-03-24 14:00:00 temp 925 294.4026
2023-03-24 14:00:00 temp 900 292.5846
2023-03-24 14:00:00 temp 850 290.2934
2023-03-24 14:00:00 temp 800 287.9554
2023-03-24 14:00:00 temp 750 285.2976
2023-03-24 14:00:00 temp 700 282.4349
2023-03-24 14:00:00 temp 650 279.3292
2023-03-24 14:00:00 temp 600 275.8908
2023-03-24 14:00:00 temp 550 271.9857
2023-03-24 14:00:00 temp 500 267.465
2023-03-24 14:00:00 temp 450 262.5153
2023-03-24 14:00:00 temp 400 257.0289
2023-03-24 14:00:00 temp 350 250.552
2023-03-24 14:00:00 temp 300 242.4921
2023-03-24 14:00:00 temp 250 231.7448
2023-03-24 14:00:00 temp 200 218.7393
2023-03-24 14:00:00 temp 150 203.6122
2023-03-24 14:00:00 temp 100 193.2858
2023-03-24 14:00:00 temp 50 206.8279
2023-03-24 15:00:00 temp 1020 289.6827
2023-03-24 15:00:00 temp 1000 292.877
2023-03-24 15:00:00 temp 950 296.7954
2023-03-24 15:00:00 temp 925 294.5051
2023-03-24 15:00:00 temp 900 292.4632
2023-03-24 15:00:00 temp 850 290.3871
2023-03-24 15:00:00 temp 800 288.1256
2023-03-24 15:00:00 temp 750 285.5059
2023-03-24 15:00:00 temp 700 282.6025
2023-03-24 15:00:00 temp 650 279.4685
2023-03-24 15:00:00 temp 600 276.0539
2023-03-24 15:00:00 temp 550 272.2499
